;bonzjcpcsw;apfdqnuvia;pktkiaimru;hoddupqckr;txnwytfvwx;randasgnuw;mlhnsssmav;uvodhibkxv;fbtpqayevl;xkuaybwmuv;zolpnvugxb;ksqxsyqubc;qtxypuehvz;ymgvruhtgg;klcfxrgufk;pverkuihiu;mnbprjkfyf;piezgilpcm;qqqaafllty;lsgzbmtviq;hjwhxwbdyl;odfjoeldsj;sefkvcwcuk;iqejuldizn;zotpvjrzld;doafdnjirt;yvrsmclezw;lbpazoqsys;kqzjrefbto;pztfbqycfb;mpompiyysw;tqvyreubzr;jaobmemtvi;ouomoxfdks;kxvzrtnzxl;hohsalzdma;fcdzgkqenu;zxkshqfnfr;aqzbcbsltr;xxywhvlbgr;qlwgtlhuxq;ybzunecfuw;tuxbwsmyle;offjcfmrrl;gquerqohqp;rixwjdrrao;hgamoqiubf;cgtewbqqlr;qujzrcphgy;wqncygzvxx;uynsvkwhho;okmtesfmoo;mfjadfwjbb;nfjvtzgwix;ndvixljtzz;nbwilsslbi;rsiciiiadk;rsiguvdkga;jkyfplihil;maedzopygg;oysgmztqqb;mnppusukkr;cspeidakyq;cjepnhxkgk;fkyrxlekpm;mgmdswmihq;dbbkwjmxwm;uoffnmpjsw;zvxaytdxqg;meisfgzuoq;qnumhyegwc;ukghxgueou;zkwlexaigo;zxanszcdwk;zhhcsiucql;zljvstsvyf;llldzgquyl;jyopoiubxg;gxpjptiiid;vprglzften;eaboctxegy;shxbibsblz;nsxcgbwbwu;czoaezqfqa;osflderbjn;xspfvlraal;qyubttsxwi;cazqzodnpq;vsexokntld;tvcgzxahbi;vvgqshfnhw;ivnwpatmol;jewiapfokf;npnfaigipa;bkzwssnugl;nktmbxflzt;pzjiapfewh;btuwjiznwv;ipgsqssxrf;etoxrtkhsg
bonzjcpcsw;0;0;0;7;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;9;7;1;0;9;0;2;3;0;4;6;8;5;0;3;5;1;0;0;0;0;0;0;0;7;2;0;0;6;0;5;4;8;6;9;9;0;0;0;7;1;0;9;0;5;0;0;5;0;0;3;0;8;0;0;1;6;0;4;0;0;0;0;2;7;8;0;7;0;8;
apfdqnuvia;0;6;0;5;0;0;2;7;0;4;0;3;0;9;0;0;7;0;0;0;5;0;1;0;0;7;0;0;2;0;3;0;0;0;6;8;4;8;3;6;4;0;2;2;0;0;6;0;6;5;8;8;0;2;0;7;0;0;0;2;8;0;6;0;4;0;7;0;6;3;0;3;0;0;6;0;8;9;7;3;0;0;0;0;0;6;0;9;3;5;6;5;5;6;3;0;1;0;0;5;
pktkiaimru;0;0;0;0;0;1;0;2;0;5;7;9;4;3;0;3;0;3;9;3;0;3;8;7;0;0;0;5;0;0;0;6;0;0;0;0;3;3;1;9;7;0;8;2;0;1;0;0;0;4;2;8;4;4;7;8;4;0;0;9;0;0;7;0;0;4;3;0;0;3;2;2;2;8;0;4;1;0;0;5;0;0;0;0;5;8;0;6;0;0;1;0;0;0;8;0;0;0;0;6;
hoddupqckr;0;0;1;6;0;4;0;4;0;5;7;0;2;0;0;4;7;8;0;0;3;8;7;0;5;3;0;7;0;2;9;1;8;0;4;5;8;4;4;0;0;0;0;8;0;0;0;0;0;0;0;6;4;0;1;0;0;3;0;0;9;7;0;1;9;4;0;0;6;7;4;0;7;0;0;0;7;0;0;0;0;0;0;2;0;4;2;9;0;4;0;0;0;0;0;8;0;8;0;0;
txnwytfvwx;0;7;0;0;0;2;0;0;1;9;8;1;0;3;6;0;5;2;1;2;0;8;2;3;5;5;0;1;0;4;9;0;0;0;0;9;3;0;1;5;3;9;2;0;1;5;0;0;3;0;0;0;4;0;4;0;1;0;4;8;5;8;0;5;8;0;3;0;0;0;5;0;0;0;0;0;7;3;2;1;2;0;0;0;6;9;0;0;4;8;9;0;1;1;7;9;4;8;0;1;
randasgnuw;0;7;5;4;0;5;9;0;4;0;0;0;3;1;0;0;2;0;0;0;0;2;0;0;2;0;9;2;7;0;0;0;9;0;5;0;3;0;0;0;0;0;2;1;0;3;0;0;5;0;0;0;5;0;0;5;0;3;0;3;0;0;2;1;0;0;0;0;0;7;7;2;0;8;0;9;0;0;0;0;6;0;0;7;0;5;0;5;0;0;7;8;0;6;2;0;0;0;0;1;
mlhnsssmav;0;8;0;4;1;5;0;0;4;0;7;0;0;0;0;9;0;0;0;8;6;4;0;0;0;0;4;0;0;9;3;2;0;4;0;7;0;2;1;3;0;4;3;0;0;0;5;9;0;0;0;0;0;0;3;0;7;6;0;0;8;1;0;9;0;9;0;0;4;9;0;0;6;0;0;0;8;0;9;6;0;3;0;3;9;0;0;0;0;0;8;0;2;0;0;0;9;9;7;0;
uvodhibkxv;0;0;0;0;8;0;1;0;6;5;0;2;7;7;7;7;0;0;0;0;7;0;0;0;3;2;6;0;7;0;0;5;6;1;2;4;0;9;0;0;5;5;0;0;0;0;0;2;0;0;8;3;0;0;0;6;0;3;0;6;6;8;6;5;8;0;0;7;0;8;0;7;0;9;6;0;2;3;4;0;2;0;0;0;0;0;3;1;8;0;0;0;0;2;0;6;7;0;6;0;
fbtpqayevl;0;7;0;5;1;0;8;6;9;0;0;1;8;8;0;0;5;0;7;0;6;2;0;9;0;0;0;7;0;0;9;1;0;0;0;3;9;9;4;0;0;0;6;0;0;2;7;9;4;2;0;7;0;7;2;0;0;0;0;0;7;3;8;3;0;0;9;0;0;4;4;7;0;0;0;0;0;6;3;6;7;2;0;9;7;0;3;0;1;7;9;0;9;0;0;2;0;2;0;6;
xkuaybwmuv;0;0;0;0;0;9;0;5;1;0;5;0;1;3;5;0;0;6;0;9;0;8;4;9;0;9;8;2;0;8;2;0;5;3;0;0;7;0;0;6;4;0;0;0;9;0;8;0;6;9;5;8;9;4;5;0;0;0;5;5;3;0;0;6;0;0;0;6;0;0;2;0;0;0;0;0;1;0;2;0;4;0;0;0;0;0;7;0;0;0;5;0;5;9;0;0;0;0;2;9;
