;qiqiqkxucb;nasmseowma;lvsijpihua;lziiitdptj;gssokjxsji;eouxwilruc;iuojwmpqnk;istzgrzlcf;hyttglxylj;rohaaebzrn;prmfsarwqf;okmynvhuoe
qiqiqkxucb;2;0;0;0;0;4;0;0;0;0;0;0;
nasmseowma;0;0;5;0;0;0;7;0;0;0;1;0;
lvsijpihua;0;0;0;0;9;0;0;0;0;0;2;0;
lziiitdptj;0;0;0;0;0;0;7;0;0;0;4;0;
gssokjxsji;8;3;0;9;0;0;7;0;0;0;0;0;
eouxwilruc;0;0;0;0;0;0;0;0;0;1;0;0;
iuojwmpqnk;0;0;0;0;0;0;0;0;0;6;0;0;
istzgrzlcf;0;0;0;0;7;0;9;0;8;0;0;0;
hyttglxylj;0;0;0;4;0;0;0;1;0;1;0;0;
rohaaebzrn;0;0;0;1;8;0;2;4;0;0;0;0;
prmfsarwqf;0;3;0;0;0;0;0;0;0;0;0;1;
okmynvhuoe;5;0;0;0;0;0;2;0;0;0;7;0;
